input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
[[1]],[True],True,"(1,)",,gt,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['getitem_1'],[]
"[[4, 512, 5120]]",[True],True,"(1,)",,getattr_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['model_embed_tokens'],"[finfo, to, finfo_1]"
[[1]],[True],True,"(1,)",,finfo,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['getattr_2'],[getattr_3]
[[1]],[True],True,"(1,)",,getattr_3,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['finfo'],[full]
"[[4, 512, 5120]]",[True],True,"(1,)",,getattr_4,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['model_embed_tokens'],"[full, arange_1]"
"[[1], [1], [1]]","[True, True, True]",True,"(512, 512)",torch.float32,full,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['getitem_1', 'getattr_3', 'getattr_4']","[size_1, size_2, masked_fill_, to]"
"[[512, 512]]",[True],True,"(1,)",,size_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['full'],[arange_1]
"[[1], [1]]","[True, True]",True,"(512,)",torch.int64,arange_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['size_1', 'getattr_4']","[add_2, lt]"
[[512]],[True],True,"(512,)",torch.int64,add_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['arange_1'],[view_1]
"[[512, 512]]",[True],True,"(1,)",,size_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['full'],[view_1]
"[[512], [1]]","[True, True]",True,"(512, 1)",torch.int64,view_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['add_2', 'size_2']",[lt]
"[[512], [512, 1]]","[True, True]",True,"(512, 512)",torch.bool,lt,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['arange_1', 'view_1']",[masked_fill_]
"[[512, 512], [512, 512]]","[True, True]",True,"(512, 512)",torch.float32,masked_fill_,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['full', 'lt']",[]
"[[512, 512], [1]]","[True, True]",True,"(512, 512)",torch.float32,to,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['full', 'getattr_2']","[ones_like, masked_fill__1, getitem_2]"
[[1]],[True],True,"(1,)",,gt_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['sub'],[]
[[1]],[True],True,"(1,)",,sub_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['sub'],[add_3]
[[1]],[True],True,"(1,)",,add_3,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['sub_1'],[triu]
"[[512, 512]]",[True],True,"(512, 512)",torch.int32,ones_like,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['to'],[triu]
"[[512, 512], [1]]","[True, True]",True,"(512, 512)",torch.int32,triu,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['ones_like', 'add_3']",[sub_2]
"[[512, 512]]",[True],True,"(512, 512)",torch.int32,sub_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['triu'],[bool_1]
"[[512, 512]]",[True],True,"(512, 512)",torch.bool,bool_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['sub_2'],[masked_fill__1]
[[1]],[True],True,"(1,)",,finfo_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['getattr_2'],[getattr_5]
[[1]],[True],True,"(1,)",,getattr_5,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['finfo_1'],[masked_fill__1]
"[[512, 512], [512, 512], [1]]","[True, True, True]",True,"(512, 512)",torch.float32,masked_fill__1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['to', 'bool_1', 'getattr_5']",[]
"[[512, 512]]",[True],True,"(1, 1, 512, 512)",torch.float32,getitem_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['to'],[expand]
"[[1], [1]]","[True, True]",True,"(1,)",,add_4,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['getitem_1', 'sub']",[expand]
"[[1, 1, 512, 512], [1], [1], [1]]","[True, True, True, True]",False,"(4, 1, 512, 512)",torch.float32,expand,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['getitem_2', 'getitem', 'getitem_1', 'add_4']","[size_13, add_13]"
"[[4, 512, 5120]]",[True],True,"(4, 512, 5120)",torch.float32,to_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['model_embed_tokens'],"[pow_1, mul]"
"[[4, 512, 5120]]",[True],True,"(4, 512, 5120)",torch.float32,pow_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['to_1'],[mean]
"[[4, 512, 5120]]",[True],True,"(4, 512, 1)",torch.float32,mean,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['pow_1'],[add_5]
"[[4, 512, 1]]",[True],True,"(4, 512, 1)",torch.float32,add_5,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['mean'],[rsqrt]
"[[4, 512, 1]]",[True],True,"(4, 512, 1)",torch.float32,rsqrt,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['add_5'],[mul]
"[[4, 512, 5120], [4, 512, 1]]","[True, True]",True,"(4, 512, 5120)",torch.float32,mul,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,"['to_1', 'rsqrt']",[to_2]
[],[],True,"(5120,)",torch.float32,model_layers_0_input_layernorm_weight,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,[],[mul_1]
"[[4, 512, 5120]]",[True],True,"(1,)",,getattr_6,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,['model_embed_tokens'],[to_2]
"[[4, 512, 5120], [1]]","[True, True]",True,"(4, 512, 5120)",torch.float32,to_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,"['mul', 'getattr_6']",[mul_1]
"[[5120], [4, 512, 5120]]","[True, True]",True,"(4, 512, 5120)",torch.float32,mul_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.input_layernorm': ('model.layers.0.input_layernorm', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2RMSNorm'>)})}",model.layers.0.input_layernorm,False,0,"['model_layers_0_input_layernorm_weight', 'to_2']","[size_3, model_layers_0_self_attn_q_proj_base_layer, to_3, model_layers_0_self_attn_k_proj_base_layer, to_5, model_layers_0_self_attn_v_proj_base_layer, to_7]"
"[[4, 512, 5120]]",[True],True,"(1,)",,size_3,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>)})}",model.layers.0.self_attn,True,0,['mul_1'],"[getitem_3, getitem_4, getitem_5]"
[[1]],[True],True,"(1,)",,getitem_3,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>)})}",model.layers.0.self_attn,True,0,['size_3'],"[view_2, view_3, view_4, ne, ne_1, ne_2, reshape_2]"
[[1]],[True],True,"(1,)",,getitem_4,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>)})}",model.layers.0.self_attn,True,0,['size_3'],"[view_2, view_3, view_4, ne, ne_1, ne_2, reshape_2]"
[[1]],[True],True,"(1,)",,getitem_5,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>)})}",model.layers.0.self_attn,True,0,['size_3'],[]
"[[4, 512, 5120]]",[True],True,"(4, 512, 5120)",torch.float32,model_layers_0_self_attn_q_proj_base_layer,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.layers.0.self_attn.q_proj.base_layer': ('model.layers.0.self_attn.q_proj.base_layer', <class 'torch.nn.modules.linear.Linear'>)})}",model.layers.0.self_attn.q_proj.base_layer,False,0,['mul_1'],"[add_6, getattr_8]"
[],[],True,"(10, 5120)",torch.float32,model_layers_0_self_attn_q_proj_lora_a_default_weight,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,[],[getattr_7]
"[[10, 5120]]",[True],True,"(1,)",,getattr_7,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,['model_layers_0_self_attn_q_proj_lora_a_default_weight'],[to_3]
"[[4, 512, 5120], [1]]","[True, True]",True,"(4, 512, 5120)",torch.float32,to_3,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,"['mul_1', 'getattr_7']",[model_layers_0_self_attn_q_proj_lora_dropout_default]
"[[4, 512, 5120]]",[True],True,"(4, 512, 5120)",torch.float32,model_layers_0_self_attn_q_proj_lora_dropout_default,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.layers.0.self_attn.q_proj.lora_dropout.default': ('model.layers.0.self_attn.q_proj.lora_dropout.default', <class 'torch.nn.modules.linear.Identity'>)})}",model.layers.0.self_attn.q_proj.lora_dropout.default,True,0,['to_3'],[model_layers_0_self_attn_q_proj_lora_a_default]
"[[4, 512, 5120]]",[True],True,"(4, 512, 10)",torch.float32,model_layers_0_self_attn_q_proj_lora_a_default,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.layers.0.self_attn.q_proj.lora_A.default': ('model.layers.0.self_attn.q_proj.lora_A.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.layers.0.self_attn.q_proj.lora_A.default,True,0,['model_layers_0_self_attn_q_proj_lora_dropout_default'],[model_layers_0_self_attn_q_proj_lora_b_default]
"[[4, 512, 10]]",[True],True,"(4, 512, 5120)",torch.float32,model_layers_0_self_attn_q_proj_lora_b_default,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.layers.0.self_attn.q_proj.lora_B.default': ('model.layers.0.self_attn.q_proj.lora_B.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.layers.0.self_attn.q_proj.lora_B.default,True,0,['model_layers_0_self_attn_q_proj_lora_a_default'],[mul_2]
"[[4, 512, 5120]]",[True],True,"(4, 512, 5120)",torch.float32,mul_2,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,['model_layers_0_self_attn_q_proj_lora_b_default'],[add_6]
"[[4, 512, 5120], [4, 512, 5120]]","[True, True]",True,"(4, 512, 5120)",torch.float32,add_6,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,"['model_layers_0_self_attn_q_proj_base_layer', 'mul_2']",[to_4]
"[[4, 512, 5120]]",[True],True,"(1,)",,getattr_8,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,['model_layers_0_self_attn_q_proj_base_layer'],[to_4]
"[[4, 512, 5120], [1]]","[True, True]",True,"(4, 512, 5120)",torch.float32,to_4,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.q_proj': ('model.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.q_proj,True,0,"['add_6', 'getattr_8']",[view_2]
"[[4, 512, 5120]]",[True],True,"(4, 512, 1024)",torch.float32,model_layers_0_self_attn_k_proj_base_layer,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.k_proj': ('model.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.layers.0.self_attn.k_proj.base_layer': ('model.layers.0.self_attn.k_proj.base_layer', <class 'torch.nn.modules.linear.Linear'>)})}",model.layers.0.self_attn.k_proj.base_layer,False,0,['mul_1'],"[add_7, getattr_10]"
[],[],True,"(10, 5120)",torch.float32,model_layers_0_self_attn_k_proj_lora_a_default_weight,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.k_proj': ('model.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.k_proj,True,0,[],[getattr_9]
"[[10, 5120]]",[True],True,"(1,)",,getattr_9,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.layers.0': ('model.layers.0', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2DecoderLayer'>), 'model.layers.0.self_attn': ('model.layers.0.self_attn', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Attention'>), 'model.layers.0.self_attn.k_proj': ('model.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.layers.0.self_attn.k_proj,True,0,['model_layers_0_self_attn_k_proj_lora_a_default_weight'],[to_5]
