input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,_input_nodes,users
"[[2, 2048, 2560], [1, 2048, 2560]]","[True, True]",True,"(2, 2048, 2560)",torch.float32,add_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","['transformer_wte', 'transformer_wpe']",[transformer_drop]
"[[2, 2048, 2560]]",[True],True,"(2, 2048, 2560)",torch.float32,transformer_drop,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.drop': ('transformer.drop', <class 'torch.nn.modules.dropout.Dropout'>)})}",['add_1'],"[size_2, transformer_h_0_ln_1, add_10]"
[[1]],[True],True,"(1,)",,getitem_3,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['size'],[add_2]
[[1]],[True],True,"(1,)",,add_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['getitem_3'],[add_3]
"[[2, 2048, 2560]]",[True],True,"(1,)",,size_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['transformer_drop'],[add_3]
"[[1], [1]]","[True, True]",True,"(1,)",,add_3,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","['add_2', 'size_2']",[view_13]
"[[2, 2048, 2560]]",[True],True,"(2, 2048, 2560)",torch.float32,transformer_h_0_ln_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.ln_1': ('transformer.h.0.ln_1', <class 'torch.nn.modules.normalization.LayerNorm'>)})}",['transformer_drop'],"[size_3, size_4, view_1]"
"[[2, 2048, 2560]]",[True],True,"(1,)",,size_3,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",['transformer_h_0_ln_1'],[getitem_4]
[[1]],[True],True,"(1,)",,getitem_4,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",['size_3'],[add_4]
[[1]],[True],True,"(1,)",,add_4,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",['getitem_4'],[view_2]
[],[],True,"(7680,)",torch.float32,transformer_h_0_attn_c_attn_bias,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[],[addmm]
"[[2, 2048, 2560]]",[True],True,"(1,)",,size_4,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",['transformer_h_0_ln_1'],[view_1]
"[[2, 2048, 2560], [1]]","[True, True]",True,"(4096, 2560)",torch.float32,view_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","['transformer_h_0_ln_1', 'size_4']",[addmm]
[],[],True,"(2560, 7680)",torch.float32,transformer_h_0_attn_c_attn_weight,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[],[addmm]
"[[7680], [4096, 2560], [2560, 7680]]","[True, True, True]",True,"(4096, 7680)",torch.float32,addmm,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","['transformer_h_0_attn_c_attn_bias', 'view_1', 'transformer_h_0_attn_c_attn_weight']",[view_2]
"[[4096, 7680], [1]]","[True, True]",True,"(2, 2048, 7680)",torch.float32,view_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","['addmm', 'add_4']",[split]
"[[2, 2048, 7680]]",[True],True,"(1,)",,split,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['view_2'],"[getitem_5, getitem_6, getitem_7]"
[[1]],[True],False,"(2, 2048, 2560)",torch.float32,getitem_5,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['split'],"[size_5, view_3]"
[[1]],[True],False,"(2, 2048, 2560)",torch.float32,getitem_6,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['split'],"[size_6, view_4]"
[[1]],[True],False,"(2, 2048, 2560)",torch.float32,getitem_7,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['split'],"[size_7, view_5]"
"[[2, 2048, 2560]]",[False],True,"(1,)",,size_5,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_5'],[getitem_8]
[[1]],[True],True,"(1,)",,getitem_8,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['size_5'],[add_5]
[[1]],[True],True,"(1,)",,add_5,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_8'],[view_3]
"[[2, 2048, 2560], [1]]","[False, True]",False,"(2, 2048, 32, 80)",torch.float32,view_3,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['getitem_5', 'add_5']",[permute]
"[[2, 2048, 32, 80]]",[False],False,"(2, 32, 2048, 80)",torch.float32,permute,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['view_3'],"[matmul, size_9]"
"[[2, 2048, 2560]]",[False],True,"(1,)",,size_6,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_6'],[getitem_9]
[[1]],[True],True,"(1,)",,getitem_9,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['size_6'],[add_6]
[[1]],[True],True,"(1,)",,add_6,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_9'],[view_4]
"[[2, 2048, 2560], [1]]","[False, True]",False,"(2, 2048, 32, 80)",torch.float32,view_4,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['getitem_6', 'add_6']",[permute_1]
"[[2, 2048, 32, 80]]",[False],False,"(2, 32, 2048, 80)",torch.float32,permute_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['view_4'],"[transpose, size_10, output]"
"[[2, 2048, 2560]]",[False],True,"(1,)",,size_7,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_7'],[getitem_10]
[[1]],[True],True,"(1,)",,getitem_10,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['size_7'],[add_7]
[[1]],[True],True,"(1,)",,add_7,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getitem_10'],[view_5]
"[[2, 2048, 2560], [1]]","[False, True]",False,"(2, 2048, 32, 80)",torch.float32,view_5,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['getitem_7', 'add_7']",[permute_2]
"[[2, 2048, 32, 80]]",[False],False,"(2, 32, 2048, 80)",torch.float32,permute_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['view_5'],"[size_8, getattr_9, matmul_1, output]"
"[[2, 32, 2048, 80]]",[False],False,"(2, 32, 80, 2048)",torch.float32,transpose,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['permute_1'],[matmul]
"[[2, 32, 2048, 80], [2, 32, 80, 2048]]","[False, False]",True,"(2, 32, 2048, 2048)",torch.float32,matmul,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['permute', 'transpose']","[getattr_2, getattr_3, truediv]"
"[[2, 32, 2048, 80]]",[False],True,"(1,)",,size_8,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['permute_2'],[pow_1]
[[1]],[True],True,"(1,)",,pow_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['size_8'],[full]
"[[2, 32, 2048, 2048]]",[True],True,"(1,)",,getattr_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['matmul'],[full]
"[[2, 32, 2048, 2048]]",[True],True,"(1,)",,getattr_3,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['matmul'],[full]
"[[1], [1], [1]]","[True, True, True]",True,"(1,)",torch.float32,full,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['pow_1', 'getattr_2', 'getattr_3']",[truediv]
"[[2, 32, 2048, 2048], [1]]","[True, True]",True,"(2, 32, 2048, 2048)",torch.float32,truediv,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['matmul', 'full']","[getattr_4, getattr_6, getattr_7, getattr_8, to]"
"[[2, 32, 2048, 80]]",[False],True,"(1,)",,size_9,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['permute'],[sub]
"[[2, 32, 2048, 80]]",[False],True,"(1,)",,size_10,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['permute_1'],"[sub, getitem_11]"
[],[],True,"(1, 1, 2048, 2048)",torch.bool,transformer_h_0_attn_bias,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",[],[getitem_11]
"[[1], [1]]","[True, True]",True,"(1,)",,sub,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['size_10', 'size_9']",[getitem_11]
"[[1, 1, 2048, 2048], [1], [1]]","[True, True, True]",True,"(1, 1, 2048, 2048)",torch.bool,getitem_11,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['transformer_h_0_attn_bias', 'sub', 'size_10']",[where]
"[[2, 32, 2048, 2048]]",[True],True,"(1,)",,getattr_4,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['truediv'],[finfo]
[[1]],[True],True,"(1,)",,finfo,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['getattr_4'],[getattr_5]
[[1]],[True],True,"(1,)",,getattr_5,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['finfo'],[full_1]
"[[2, 32, 2048, 2048]]",[True],True,"(1,)",,getattr_6,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['truediv'],[full_1]
"[[2, 32, 2048, 2048]]",[True],True,"(1,)",,getattr_7,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}",['truediv'],[full_1]
"[[1], [1], [1]]","[True, True, True]",True,"(1,)",torch.float32,full_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>)})}","['getattr_5', 'getattr_6', 'getattr_7']",[where]
