Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
addmm,Linear,"[['Linear', (4096, 2560, 7680)]]",[],[],"{""'view_1"", ""'transformer_h_0_attn_c_attn_bias"", ""'transformer_h_0_attn_c_attn_weight""}",{'view_'},"[(7680,), (4096, 2560), (2560, 7680)]","(4096, 7680)"
view_2,misc,[],[],[],"{""'add_4"", ""'addmm""}",{'spli'},"[(4096, 7680), (1,)]","(2, 2048, 7680)"
split,misc,[],[],[],"{""'view_2""}",{'getitem_'},"[(2, 2048, 7680)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]",[],[],"{""'split""}","{'size_', 'view_'}","[(1,)]","(2, 2048, 2560)"
getitem_6,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]",[],[],"{""'split""}","{'size_', 'view_'}","[(1,)]","(2, 2048, 2560)"
getitem_7,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]",[],[],"{""'split""}","{'size_', 'view_'}","[(1,)]","(2, 2048, 2560)"
size_5,misc,[],[],[],"{""'getitem_5""}",{'getitem_'},"[(2, 2048, 2560)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_5""}",{'add_'},"[(1,)]","(1,)"
add_5,misc,[],[],[],"{""'getitem_8""}",{'view_'},"[(1,)]","(1,)"
view_3,misc,[],[],[],"{""'getitem_5"", ""'add_5""}",{'permut'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute,misc,[],[],[],"{""'view_3""}","{'size_', 'matmu'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
size_6,misc,[],[],[],"{""'getitem_6""}",{'getitem_'},"[(2, 2048, 2560)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_6""}",{'add_'},"[(1,)]","(1,)"
add_6,misc,[],[],[],"{""'getitem_9""}",{'view_'},"[(1,)]","(1,)"
view_4,misc,[],[],[],"{""'getitem_6"", ""'add_6""}",{'permute_'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute_1,misc,[],[],[],"{""'view_4""}","{'size_1', 'transpos', 'outpu'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
size_7,misc,[],[],[],"{""'getitem_7""}",{'getitem_1'},"[(2, 2048, 2560)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_7""}",{'add_'},"[(1,)]","(1,)"
add_7,misc,[],[],[],"{""'getitem_10""}",{'view_'},"[(1,)]","(1,)"
view_5,misc,[],[],[],"{""'getitem_7"", ""'add_7""}",{'permute_'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute_2,misc,[],[],[],"{""'view_5""}","{'getattr_', 'size_', 'matmul_', 'outpu'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
transpose,misc,[],[],[],"{""'permute_1""}",{'matmu'},"[(2, 32, 2048, 80)]","(2, 32, 80, 2048)"
matmul,BMM,"[['BMM', (64, 2048, 80, 2048)]]",[],[],"{""'permute"", ""'transpose""}","{'getattr_', 'truedi'}","[(2, 32, 2048, 80), (2, 32, 80, 2048)]","(2, 32, 2048, 2048)"
size_8,misc,[],[],[],"{""'permute_2""}",{'pow_'},"[(2, 32, 2048, 80)]","(1,)"
pow_1,misc,[],[],[],"{""'size_8""}",{'ful'},"[(1,)]","(1,)"
getattr_2,misc,[],[],[],"{""'matmul""}",{'ful'},"[(2, 32, 2048, 2048)]","(1,)"
getattr_3,misc,[],[],[],"{""'matmul""}",{'ful'},"[(2, 32, 2048, 2048)]","(1,)"
full,misc,[],[],[],"{""'getattr_2"", ""'pow_1"", ""'getattr_3""}",{'truedi'},"[(1,), (1,), (1,)]","(1,)"
truediv,VECdiv,"[['VECdiv', (131072, 2048)]]",[],[],"{""'matmul"", ""'full""}","{'t', 'getattr_'}","[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
size_9,misc,[],[],[],"{""'permute""}",{'su'},"[(2, 32, 2048, 80)]","(1,)"
size_10,misc,[],[],[],"{""'permute_1""}","{'getitem_1', 'su'}","[(2, 32, 2048, 80)]","(1,)"
transformer_h_0_attn_bias,misc,[],[],[],set(),{'getitem_1'},[],"(1, 1, 2048, 2048)"
sub,misc,[],[],[],"{""'size_9"", ""'size_10""}",{'getitem_1'},"[(1,), (1,)]","(1,)"
getitem_11,getitem,"[['MEM', ((1, 1, 2048, 2048), (1,), (1,), (1, 1, 2048, 2048))]]",[],[],"{""'transformer_h_0_attn_bias"", ""'sub"", ""'size_10""}",{'wher'},"[(1, 1, 2048, 2048), (1,), (1,)]","(1, 1, 2048, 2048)"
getattr_4,misc,[],[],[],"{""'truediv""}",{'finf'},"[(2, 32, 2048, 2048)]","(1,)"
finfo,misc,[],[],[],"{""'getattr_4""}",{'getattr_'},"[(1,)]","(1,)"
getattr_5,misc,[],[],[],"{""'finfo""}",{'full_'},"[(1,)]","(1,)"
getattr_6,misc,[],[],[],"{""'truediv""}",{'full_'},"[(2, 32, 2048, 2048)]","(1,)"
getattr_7,misc,[],[],[],"{""'truediv""}",{'full_'},"[(2, 32, 2048, 2048)]","(1,)"
full_1,misc,[],[],[],"{""'getattr_5"", ""'getattr_6"", ""'getattr_7""}",{'wher'},"[(1,), (1,), (1,)]","(1,)"
getattr_8,misc,[],[],[],"{""'truediv""}",{'t'},"[(2, 32, 2048, 2048)]","(1,)"
to,misc,[],[],[],"{""'getattr_8"", ""'truediv""}",{'wher'},"[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
where,where,"[['MEM', ((1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,), (2, 32, 2048, 2048))]]",[],[],"{""'getitem_11"", ""'to"", ""'full_1""}",{'softma'},"[(1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
softmax,VECsoftmax,"[['VECsoftmax', (131072, 2048)]]",[],[],"{""'where""}",{'type_'},"[(2, 32, 2048, 2048)]","(2, 32, 2048, 2048)"
getattr_9,misc,[],[],[],"{""'permute_2""}",{'type_'},"[(2, 32, 2048, 80)]","(1,)"
type_1,misc,[],[],[],"{""'getattr_9"", ""'softmax""}",{'transformer_h_0_attn_attn_dropou'},"[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
transformer_h_0_attn_attn_dropout,misc,[],[],[],"{""'type_1""}",{'matmul_'},"[(2, 32, 2048, 2048)]","(2, 32, 2048, 2048)"
matmul_1,BMM,"[['BMM', (64, 2048, 2048, 80)]]",[],[],"{""'transformer_h_0_attn_attn_dropout"", ""'permute_2""}",{'permute_'},"[(2, 32, 2048, 2048), (2, 32, 2048, 80)]","(2, 32, 2048, 80)"
permute_3,misc,[],[],[],"{""'matmul_1""}",{'contiguou'},"[(2, 32, 2048, 80)]","(2, 2048, 32, 80)"
contiguous,contiguous,"[['MEM', ((2, 2048, 32, 80), (2, 2048, 32, 80))]]",[],[],"{""'permute_3""}","{'size_1', 'view_'}","[(2, 2048, 32, 80)]","(2, 2048, 32, 80)"
size_11,misc,[],[],[],"{""'contiguous""}",{'getitem_1'},"[(2, 2048, 32, 80)]","(1,)"
getitem_12,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_11""}",{'add_'},"[(1,)]","(1,)"
add_8,misc,[],[],[],"{""'getitem_12""}",{'view_'},"[(1,)]","(1,)"
view_6,misc,[],[],[],"{""'add_8"", ""'contiguous""}","{'size_1', 'view_'}","[(2, 2048, 32, 80), (1,)]","(2, 2048, 2560)"
size_12,misc,[],[],[],"{""'view_6""}",{'getitem_1'},"[(2, 2048, 2560)]","(1,)"
getitem_13,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_12""}",{'add_'},"[(1,)]","(1,)"
add_9,misc,[],[],[],"{""'getitem_13""}",{'view_'},"[(1,)]","(1,)"
transformer_h_0_attn_c_proj_bias,misc,[],[],[],set(),{'addmm_'},[],"(2560,)"
size_13,misc,[],[],[],"{""'view_6""}",{'view_'},"[(2, 2048, 2560)]","(1,)"
view_7,misc,[],[],[],"{""'view_6"", ""'size_13""}",{'addmm_'},"[(2, 2048, 2560), (1,)]","(4096, 2560)"
transformer_h_0_attn_c_proj_weight,misc,[],[],[],set(),{'addmm_'},[],"(2560, 2560)"
addmm_1,Linear,"[['Linear', (4096, 2560, 2560)]]",[],[],"{""'transformer_h_0_attn_c_proj_weight"", ""'transformer_h_0_attn_c_proj_bias"", ""'view_7""}",{'view_'},"[(2560,), (4096, 2560), (2560, 2560)]","(4096, 2560)"
view_8,misc,[],[],[],"{""'add_9"", ""'addmm_1""}",{'transformer_h_0_attn_resid_dropou'},"[(4096, 2560), (1,)]","(2, 2048, 2560)"
transformer_h_0_attn_resid_dropout,misc,[],[],[],"{""'view_8""}",{'add_1'},"[(2, 2048, 2560)]","(2, 2048, 2560)"
add_10,VECadd,"[['VECadd', (4096, 2560)]]",[],[],"{""'transformer_drop"", ""'transformer_h_0_attn_resid_dropout""}","{'transformer_h_0_ln_', 'add_1'}","[(2, 2048, 2560), (2, 2048, 2560)]","(2, 2048, 2560)"
transformer_h_0_ln_2,VECln,"[['VECln', (4096, 2560)]]",[],[],"{""'add_10""}","{'size_1', 'view_'}","[(2, 2048, 2560)]","(2, 2048, 2560)"
size_14,misc,[],[],[],"{""'transformer_h_0_ln_2""}",{'getitem_1'},"[(2, 2048, 2560)]","(1,)"
getitem_14,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_14""}",{'add_1'},"[(1,)]","(1,)"
add_11,misc,[],[],[],"{""'getitem_14""}",{'view_1'},"[(1,)]","(1,)"
transformer_h_0_mlp_c_fc_bias,misc,[],[],[],set(),{'addmm_'},[],"(10240,)"
size_15,misc,[],[],[],"{""'transformer_h_0_ln_2""}",{'view_'},"[(2, 2048, 2560)]","(1,)"
view_9,misc,[],[],[],"{""'size_15"", ""'transformer_h_0_ln_2""}",{'addmm_'},"[(2, 2048, 2560), (1,)]","(4096, 2560)"
transformer_h_0_mlp_c_fc_weight,misc,[],[],[],set(),{'addmm_'},[],"(2560, 10240)"
addmm_2,Linear,"[['Linear', (4096, 2560, 10240)]]",[],[],"{""'transformer_h_0_mlp_c_fc_bias"", ""'view_9"", ""'transformer_h_0_mlp_c_fc_weight""}",{'view_1'},"[(10240,), (4096, 2560), (2560, 10240)]","(4096, 10240)"
view_10,misc,[],[],[],"{""'addmm_2"", ""'add_11""}","{'pow_', 'mu', 'add_1'}","[(4096, 10240), (1,)]","(2, 2048, 10240)"
mul,VECmulu,"[['VECmulu', (4096, 10240)]]",[],[],"{""'view_10""}",{'mul_'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
pow_2,VECpowu,"[['VECpowu', (4096, 10240)]]",[],[],"{""'view_10""}",{'mul_'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
mul_1,VECmulu,"[['VECmulu', (4096, 10240)]]",[],[],"{""'pow_2""}",{'add_1'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
add_12,VECadd,"[['VECadd', (4096, 10240)]]",[],[],"{""'mul_1"", ""'view_10""}",{'mul_'},"[(2, 2048, 10240), (2, 2048, 10240)]","(2, 2048, 10240)"
mul_2,VECmulu,"[['VECmulu', (4096, 10240)]]",[],[],"{""'add_12""}",{'tan'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
tanh,VECtanh,"[['VECtanh', (4096, 10240)]]",[],[],"{""'mul_2""}",{'add_1'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
add_13,VECaddu,"[['VECaddu', (4096, 10240)]]",[],[],"{""'tanh""}",{'mul_'},"[(2, 2048, 10240)]","(2, 2048, 10240)"
mul_3,VECmul,"[['VECmul', (4096, 10240)]]",[],[],"{""'add_13"", ""'mul""}","{'size_1', 'view_1'}","[(2, 2048, 10240), (2, 2048, 10240)]","(2, 2048, 10240)"
size_16,misc,[],[],[],"{""'mul_3""}",{'getitem_1'},"[(2, 2048, 10240)]","(1,)"
getitem_15,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_16""}",{'add_1'},"[(1,)]","(1,)"
add_14,misc,[],[],[],"{""'getitem_15""}",{'view_1'},"[(1,)]","(1,)"
transformer_h_0_mlp_c_proj_bias,misc,[],[],[],set(),{'addmm_'},[],"(2560,)"
size_17,misc,[],[],[],"{""'mul_3""}",{'view_1'},"[(2, 2048, 10240)]","(1,)"
view_11,misc,[],[],[],"{""'size_17"", ""'mul_3""}",{'addmm_'},"[(2, 2048, 10240), (1,)]","(4096, 10240)"
transformer_h_0_mlp_c_proj_weight,misc,[],[],[],set(),{'addmm_'},[],"(10240, 2560)"
addmm_3,Linear,"[['Linear', (4096, 10240, 2560)]]",[],[],"{""'transformer_h_0_mlp_c_proj_bias"", ""'view_11"", ""'transformer_h_0_mlp_c_proj_weight""}",{'view_1'},"[(2560,), (4096, 10240), (10240, 2560)]","(4096, 2560)"
view_12,misc,[],[],[],"{""'add_14"", ""'addmm_3""}",{'transformer_h_0_mlp_dropou'},"[(4096, 2560), (1,)]","(2, 2048, 2560)"
transformer_h_0_mlp_dropout,misc,[],[],[],"{""'view_12""}",{'add_1'},"[(2, 2048, 2560)]","(2, 2048, 2560)"
add_15,VECadd,"[['VECadd', (4096, 2560)]]",[],[],"{""'transformer_h_0_mlp_dropout"", ""'add_10""}",{'transformer_ln_'},"[(2, 2048, 2560), (2, 2048, 2560)]","(2, 2048, 2560)"
transformer_ln_f,VECln,"[['VECln', (4096, 2560)]]",[],[],"{""'add_15""}",{'view_1'},"[(2, 2048, 2560)]","(2, 2048, 2560)"
view_13,misc,[],[],[],"{""'add_3"", ""'transformer_ln_f""}",{'lm_hea'},"[(2, 2048, 2560), (1,)]","(2, 2048, 2560)"
lm_head,Linear,"[['Linear', (4096, 2560, 50257)]]",[],[],"{""'view_13""}",{'outpu'},"[(2, 2048, 2560)]","(2, 2048, 50257)"
output,output,[],[],[],"{""'permute_1"", ""'permute_2"", ""'lm_head""}",set(),"[(2, 2048, 50257), (2, 32, 2048, 80), (2, 32, 2048, 80)]","(2, 2048, 50257)"
