Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
transformer_h_0_attn_c_proj_bias,misc,[],[],[],set(),{'addmm_'},[],"(1024,)"
size_13,misc,[],[],[],"{""'view_6""}",{'view_'},"[(2, 1024, 1024)]","(1,)"
view_7,misc,[],[],[],"{""'size_13"", ""'view_6""}",{'addmm_'},"[(2, 1024, 1024), (1,)]","(2048, 1024)"
transformer_h_0_attn_c_proj_weight,misc,[],[],[],set(),{'addmm_'},[],"(1024, 1024)"
addmm_1,Linear,"[['Linear', (2048, 1024, 1024)]]","[['Linear', (2048, 1024, 1024)], ['Linear', (1024, 2048, 1024)]]","[['VECadd', [1, 1048576]], ['VECadd', [1, 1024]]]","{""'transformer_h_0_attn_c_proj_weight"", ""'view_7"", ""'transformer_h_0_attn_c_proj_bias""}",{'view_'},"[(1024,), (2048, 1024), (1024, 1024)]","(2048, 1024)"
view_8,misc,[],[],[],"{""'add_9"", ""'addmm_1""}",{'transformer_h_0_attn_resid_dropou'},"[(2048, 1024), (1,)]","(2, 1024, 1024)"
transformer_h_0_attn_resid_dropout,dropout,"[['MEM', ((2, 1024, 1024), (2, 1024, 1024))]]","[['MEM', ((2, 1024, 1024),)], ['MEM', ((2, 1024, 1024),)]]",[],"{""'view_8""}",{'add_1'},"[(2, 1024, 1024)]","(2, 1024, 1024)"
add_10,VECadd,"[['VECadd', (2048, 1024)]]","[['MEM', ((2048, 1024),)], ['MEM', ((2048, 1024),)]]",[],"{""'transformer_h_0_attn_resid_dropout"", ""'transformer_drop""}","{'add_1', 'transformer_h_0_ln_'}","[(2, 1024, 1024), (2, 1024, 1024)]","(2, 1024, 1024)"
transformer_h_0_ln_2,VECln,"[['VECln', (2048, 1024)]]","[['VECmul', (2048, 1024)]]","[['VECadd', [1, 1024]], ['VECadd', [1, 1024]]]","{""'add_10""}","{'view_', 'size_1'}","[(2, 1024, 1024)]","(2, 1024, 1024)"
size_14,misc,[],[],[],"{""'transformer_h_0_ln_2""}",{'getitem_1'},"[(2, 1024, 1024)]","(1,)"
getitem_14,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_14""}",{'add_1'},"[(1,)]","(1,)"
add_11,misc,[],[],[],"{""'getitem_14""}",{'view_1'},"[(1,)]","(1,)"
transformer_h_0_mlp_c_fc_bias,misc,[],[],[],set(),{'addmm_'},[],"(4096,)"
size_15,misc,[],[],[],"{""'transformer_h_0_ln_2""}",{'view_'},"[(2, 1024, 1024)]","(1,)"
view_9,misc,[],[],[],"{""'size_15"", ""'transformer_h_0_ln_2""}",{'addmm_'},"[(2, 1024, 1024), (1,)]","(2048, 1024)"
transformer_h_0_mlp_c_fc_weight,misc,[],[],[],set(),{'addmm_'},[],"(1024, 4096)"
addmm_2,Linear,"[['Linear', (2048, 1024, 4096)]]","[['Linear', (2048, 4096, 1024)], ['Linear', (4096, 2048, 1024)]]","[['VECadd', [1, 4194304]], ['VECadd', [1, 4096]]]","{""'view_9"", ""'transformer_h_0_mlp_c_fc_weight"", ""'transformer_h_0_mlp_c_fc_bias""}",{'view_1'},"[(4096,), (2048, 1024), (1024, 4096)]","(2048, 4096)"
view_10,misc,[],[],[],"{""'add_11"", ""'addmm_2""}","{'add_1', 'pow_', 'mu'}","[(2048, 4096), (1,)]","(2, 1024, 4096)"
mul,VECmulu,"[['VECmulu', (2048, 4096)]]","[['VECmulu', (2048, 4096)]]",[],"{""'view_10""}",{'mul_'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
pow_2,VECpowu,"[['VECpowu', (2048, 4096)]]","[['VECpowu', (2048, 4096)], ['VECmul', (2048, 4096)], ['VECmulu', (2048, 4096)]]",[],"{""'view_10""}",{'mul_'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
mul_1,VECmulu,"[['VECmulu', (2048, 4096)]]","[['VECmulu', (2048, 4096)]]",[],"{""'pow_2""}",{'add_1'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
add_12,VECadd,"[['VECadd', (2048, 4096)]]","[['MEM', ((2048, 4096),)], ['MEM', ((2048, 4096),)]]",[],"{""'mul_1"", ""'view_10""}",{'mul_'},"[(2, 1024, 4096), (2, 1024, 4096)]","(2, 1024, 4096)"
mul_2,VECmulu,"[['VECmulu', (2048, 4096)]]","[['VECmulu', (2048, 4096)]]",[],"{""'add_12""}",{'tan'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
tanh,VECtanh,"[['VECtanh', (2048, 4096)]]","[['VECmulu', (2048, 4096)], ['VECaddu', (2048, 4096)]]",[],"{""'mul_2""}",{'add_1'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
add_13,VECaddu,"[['VECaddu', (2048, 4096)]]","[['MEM', ((2048, 4096),)]]",[],"{""'tanh""}",{'mul_'},"[(2, 1024, 4096)]","(2, 1024, 4096)"
mul_3,VECmul,"[['VECmul', (2048, 4096)]]","[['VECmul', (2048, 4096)], ['VECmul', (2048, 4096)]]",[],"{""'add_13"", ""'mul""}","{'view_1', 'size_1'}","[(2, 1024, 4096), (2, 1024, 4096)]","(2, 1024, 4096)"
size_16,misc,[],[],[],"{""'mul_3""}",{'getitem_1'},"[(2, 1024, 4096)]","(1,)"
getitem_15,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_16""}",{'add_1'},"[(1,)]","(1,)"
add_14,misc,[],[],[],"{""'getitem_15""}",{'view_1'},"[(1,)]","(1,)"
transformer_h_0_mlp_c_proj_bias,misc,[],[],[],set(),{'addmm_'},[],"(1024,)"
size_17,misc,[],[],[],"{""'mul_3""}",{'view_1'},"[(2, 1024, 4096)]","(1,)"
view_11,misc,[],[],[],"{""'size_17"", ""'mul_3""}",{'addmm_'},"[(2, 1024, 4096), (1,)]","(2048, 4096)"
transformer_h_0_mlp_c_proj_weight,misc,[],[],[],set(),{'addmm_'},[],"(4096, 1024)"
addmm_3,Linear,"[['Linear', (2048, 4096, 1024)]]","[['Linear', (2048, 1024, 4096)], ['Linear', (1024, 2048, 4096)]]","[['VECadd', [1, 4194304]], ['VECadd', [1, 1024]]]","{""'transformer_h_0_mlp_c_proj_bias"", ""'view_11"", ""'transformer_h_0_mlp_c_proj_weight""}",{'view_1'},"[(1024,), (2048, 4096), (4096, 1024)]","(2048, 1024)"
view_12,misc,[],[],[],"{""'addmm_3"", ""'add_14""}",{'transformer_h_0_mlp_dropou'},"[(2048, 1024), (1,)]","(2, 1024, 1024)"
transformer_h_0_mlp_dropout,dropout,"[['MEM', ((2, 1024, 1024), (2, 1024, 1024))]]","[['MEM', ((2, 1024, 1024),)], ['MEM', ((2, 1024, 1024),)]]",[],"{""'view_12""}",{'add_1'},"[(2, 1024, 1024)]","(2, 1024, 1024)"
add_15,VECadd,"[['VECadd', (2048, 1024)]]","[['MEM', ((2048, 1024),)], ['MEM', ((2048, 1024),)]]",[],"{""'add_10"", ""'transformer_h_0_mlp_dropout""}",{'transformer_ln_'},"[(2, 1024, 1024), (2, 1024, 1024)]","(2, 1024, 1024)"
transformer_ln_f,VECln,"[['VECln', (2048, 1024)]]","[['VECmul', (2048, 1024)]]","[['VECadd', [1, 1024]], ['VECadd', [1, 1024]]]","{""'add_15""}",{'view_1'},"[(2, 1024, 1024)]","(2, 1024, 1024)"
view_13,misc,[],[],[],"{""'transformer_ln_f"", ""'add_3""}",{'lm_hea'},"[(2, 1024, 1024), (1,)]","(2, 1024, 1024)"
lm_head,Linear,"[['Linear', (2048, 1024, 50257)]]","[['Linear', (2048, 50257, 1024)], ['Linear', (50257, 2048, 1024)]]","[['VECadd', [1, 51463168]], ['VECadd', [1, 50257]]]","{""'view_13""}",{'outpu'},"[(2, 1024, 1024)]","(2, 1024, 50257)"
output,output,[],[],[],"{""'lm_head"", ""'permute_2"", ""'permute_1""}",set(),"[(2, 1024, 50257), (2, 16, 1024, 64), (2, 16, 1024, 64)]","(2, 1024, 50257)"
